Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
21 - 23,Male,Malaysian,Friend or roommate,Urban,No,FIST,Bachelor's,2,More than 100,Very Good,0,11,0,0,No,No,University reputation,Medium,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Part Buyer,Unemployed,No,Yes,Alone,Less than 2,No,No,10 - 30,Heavy,Non-drinker,5,3,4
21 - 23,Male,Malaysian,Friend or roommate,Urban,Yes,FCI,Bachelor's,3,40 - 70,Very Good,0,3,6,1,No,Yes,Course preference,Large,Large,Less,Moderate,Moderate,No,MT3,Primary,Primary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,Yes,No,More than 60,Heavy,Less,3,3,5
21 - 23,Male,Malaysian,Friend or roommate,Urban,No,FIST,Diploma,2,40 - 70,Good,1 - 2,7,2,0,No,Yes,Close to home,Medium,Medium,None,Good,Good,No,MT3,Secondary,Secondary,Self-employed,Education,No,Yes,Group,2 - 5,Yes,No,Less than 10,Light,Non-drinker,3,1,1
21 - 23,Male,Malaysian,Family,Urban,Yes,FCI,Bachelor's,3,71 - 100,Very Good,0,5,2,2,No,No,Course preference,Large,Large,Less,Good,Moderate,No,MT3,Higher,Higher,Civil servant,Finance and banking,No,Yes,Group,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,4,3,3
21 - 23,Male,Malaysian,Friend or roommate,Urban,Yes,FOL,Bachelor's,3,71 - 100,Very Good,0,6,4,0,No,Yes,Course preference,Extra large,Large,Less,Poor,Poor,No,MT3,Higher,Higher,Self-employed,Self-employed,No,Yes,Group,5 - 8,Yes,No,10 - 30,Light,Sometimes,1,2,3
18 - 20,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,2,40 - 70,Very Good,1 - 2,0,0,0,No,No,Course preference,Medium,Medium,Sometimes,Moderate,Good,No,MT3,Higher,Higher,Self-employed,not sure,No,No,Group,2 - 5,No,No,30 - 60,Moderate,Non-drinker,2,3,3
24 - 26,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,3,40 - 70,Low,3 - 4,1,4,4,No,Yes,Course preference,Large,Large,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Chef,Unemployed,No,Yes,Group,Less than 2,No,Yes,10 - 30,Moderate,Less,3,4,5
21 - 23,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,3,71 - 100,Very Good,0,1,7,1,No,Yes,Close to home,Large,Large,None,Poor,Poor,No,MT3,Higher,Secondary,Self-employed,Self-employed,No,Yes,Group,2 - 5,Yes,Yes,10 - 30,Light,Non-drinker,2,3,3
18 - 20,Female,Malaysian,Friend or roommate,Urban,Yes,FCI,Diploma,2,40 - 70,Good,1 - 2,2,5,2,No,Yes,Course preference,Medium,Large,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Finance and banking,Yes,Yes,Group,2 - 5,No,No,Less than 10,Heavy,Less,4,3,3
21 - 23,Female,Malaysian,Friend or roommate,Rural,No,FCM,Bachelor's,4,More than 100,Good,0,8,1,1,Yes,Yes,Course preference,Medium,Medium,Less,Poor,Poor,No,LE3,Primary,Secondary,Self-employed,Unemployed,No,Yes,Alone,More than 8,Yes,Yes,10 - 30,Moderate,Often,1,3,4
